epoch,accuracy,loss,val_accuracy,val_loss
0,0.49667862,1.1020312706325766,0.5266870260238647,0.9922624831196283
1,0.60402095,0.9026318686495214,0.6437808871269226,0.8591271564171731
2,0.64811003,0.8078012232090611,0.6778744459152222,0.773516548876759
3,0.66433483,0.7666909678904134,0.6992710828781128,0.7054487388890237
4,0.68567395,0.7301690932493573,0.6644721627235413,0.7839523777102908
5,0.69543236,0.7066616988652991,0.6872795820236206,0.737273739711722
6,0.7016636,0.6891181427722857,0.6969197988510132,0.7243558249836833
7,0.7104227,0.6683272859608852,0.715965211391449,0.6668843523687457
8,0.71612483,0.6597947171493909,0.7084410786628723,0.6531221330824555
9,0.7289989,0.6384512957816864,0.7190218567848206,0.6571136007526469
10,0.7329963,0.62921364956604,0.7067952156066895,0.6618101668867985
11,0.73305506,0.6215354975734072,0.6809310913085938,0.796873832180616
12,0.74034446,0.6123174758620674,0.7446508407592773,0.6078083389735407
13,0.7398742,0.6013008243234117,0.6816365122795105,0.7123504386434772
14,0.7468697,0.591961596759635,0.7133787870407104,0.6637266330822142
15,0.7488684,0.5849968924926608,0.7361862063407898,0.6149702518933132
16,0.75180763,0.5800578643857862,0.7420644164085388,0.619075288162662
17,0.76080185,0.569515961029144,0.7484129071235657,0.6012443987139808
18,0.75786257,0.5692502446685068,0.7566423416137695,0.5922310686156297
19,0.761037,0.5644084942343653,0.747002124786377,0.6043703541485472
20,0.7640938,0.5594466690958005,0.7495885491371155,0.5923020097050643
21,0.7645053,0.5556589218998466,0.7375969886779785,0.625861683719836
22,0.7712656,0.5465553132645787,0.7568774819374084,0.5792681173159323
23,0.7717359,0.5446093251788422,0.7437103390693665,0.590597895336465
24,0.77444005,0.536192346355719,0.7644016146659851,0.5583081129940992
25,0.77120686,0.5381209253283743,0.7542911171913147,0.5852480551620778
26,0.77285284,0.536931633975559,0.7524100542068481,0.5910784479956781
27,0.7778496,0.5292908194470003,0.7538208365440369,0.5801732527937801
28,0.7800247,0.5290715556286691,0.771925687789917,0.5560374778073282
29,0.77937806,0.5223898962004307,0.7679285407066345,0.5634766311161159
30,0.78184706,0.5212459806853252,0.7427698373794556,0.6251597493193218
31,0.7814943,0.5168352845074478,0.7622854709625244,0.5785392702340575
32,0.7857269,0.5131306262493807,0.7721608281135559,0.5593647294371878
33,0.78455114,0.5104861715351363,0.7674582600593567,0.5587129466762942
34,0.7863147,0.5076679071854623,0.7458264827728271,0.5889380822287092
35,0.78784317,0.5052400700899948,0.7519398331642151,0.5951546550834148
36,0.78831345,0.5020929101643673,0.7498236298561096,0.624285825036594
37,0.78960675,0.4989012839789113,0.7742769718170166,0.5563759528943126
38,0.7910176,0.5025734966635584,0.7676934003829956,0.5554061742311586
39,0.7944859,0.49396619256243113,0.7773336172103882,0.5505019546732351
40,0.79589677,0.49308319874495454,0.7557018399238586,0.5750605739371064
41,0.79707247,0.48785665030377395,0.7707500457763672,0.5686331513402828
42,0.7953089,0.4881244468335773,0.7582882642745972,0.5750946867453359
43,0.7934866,0.4884667015953057,0.7679285407066345,0.5642095456579111
44,0.7968961,0.4882464714220862,0.7728661894798279,0.5494759542757613
45,0.7986009,0.4815429390671602,0.777803897857666,0.553109554215204
46,0.7977779,0.4826181348434909,0.7733364701271057,0.5651186644722651
47,0.8000705,0.481162506969831,0.7566423416137695,0.5999745863789591
48,0.804597,0.4752158183955087,0.7676934003829956,0.575100229889708
49,0.8023044,0.4757556940896627,0.7726311087608337,0.5471122506195704
50,0.7996591,0.47241869987539425,0.7265459895133972,0.6584966262592699
51,0.80442065,0.4732599624211276,0.777803897857666,0.565305784733582
52,0.8040092,0.4738640853718302,0.7869738936424255,0.5315610220537111
53,0.8081242,0.46938619843292306,0.771220326423645,0.5597406271455317
54,0.8006584,0.4779485421024522,0.7742769718170166,0.5432295647966365
55,0.80777144,0.4670906140616342,0.7672231197357178,0.560045127753171
56,0.80718356,0.4688560790881356,0.7759228944778442,0.5455453965752483
57,0.80894715,0.4634576887356584,0.7700446844100952,0.5520467797560101
58,0.8067721,0.4623633921829651,0.7865036725997925,0.544325350930263
59,0.8127682,0.4569469840902478,0.7796849012374878,0.567065662309587
60,0.81270945,0.4566939165826113,0.7681636214256287,0.5647501292969798
61,0.8092999,0.4565679345852161,0.771925687789917,0.548275339093288
62,0.8124155,0.45291934210250184,0.7688690423965454,0.5741614978747343
63,0.80847687,0.45552532595516226,0.7806254625320435,0.5408099457400842
64,0.81182766,0.4578791675001539,0.7787443995475769,0.5491793930124121
65,0.8227617,0.42849100970708953,0.7865036725997925,0.5326523811304791
66,0.83046263,0.415013251530417,0.7883846759796143,0.53118659783301
67,0.83422494,0.4060371867350103,0.790265679359436,0.5322218047235535
68,0.83598846,0.40081170053437487,0.7822713255882263,0.5357117434683727
69,0.83557695,0.4052699708159334,0.7860333919525146,0.5339657322689978
